name,TotalRunTime,average_net_length,clb_blocks,critical_path,io_blocks,packing_time,placement_time,routing_time,total_logic_block_area,total_routing_area,total_routing_time,total_wire_length
00_and2_MIN_ROUTE_CHAN_WIDTH,98,5.66667,1,1.25111e-09,3,0.00,0.00,0.00,53894,52694.1,0.0,17
00_or2_MIN_ROUTE_CHAN_WIDTH,98,5.66667,1,1.25111e-09,3,0.00,0.00,0.00,53894,52694.1,0.0,17
00_and2_latch_MIN_ROUTE_CHAN_WIDTH,96,7.25000,1,1.2110300000000001e-09,5,0.00,0.00,0.00,53894,52694.1,0.0,29
